['2018-09-19 10:43:35', 'Wednesday', 'TLRY', 7, -8, -1, -3, 212.42]
['2018-09-19 10:44:38', 'Wednesday', 'TLRY', 5, -7, -2, -6, 214.765]
['2018-09-19 10:45:41', 'Wednesday', 'TLRY', 6, -6, 0, 0, 214.43]
['2018-09-19 10:46:44', 'Wednesday', 'TLRY', 7, -6, 1, 3, 217.07]
['2018-09-19 10:47:47', 'Wednesday', 'TLRY', 7, -4, 3, 10, 218.2]
['2018-09-19 10:48:51', 'Wednesday', 'TLRY', 8, -5, 3, 10, 221.285]
['2018-09-19 10:49:54', 'Wednesday', 'TLRY', 12, -4, 8, 26, 222.49]
['2018-09-19 10:50:56', 'Wednesday', 'TLRY', 13, -2, 11, 36, 221.81]
['2018-09-19 10:51:59', 'Wednesday', 'TLRY', 9, -4, 5, 16, 216]
['2018-09-19 10:53:01', 'Wednesday', 'TLRY', 8, -6, 2, 6, 217.08]
['2018-09-19 10:54:04', 'Wednesday', 'TLRY', 7, -4, 3, 10, 217.97]
['2018-09-19 10:55:07', 'Wednesday', 'TLRY', 6, -5, 1, 3, 218.25]
['2018-09-19 10:56:09', 'Wednesday', 'TLRY', 4, -7, -3, -10, 219.62]
['2018-09-19 10:57:12', 'Wednesday', 'TLRY', 3, -7, -4, -13, 220]
['2018-09-19 10:58:14', 'Wednesday', 'TLRY', 3, -4, -1, -3, 221]
['2018-09-19 10:59:18', 'Wednesday', 'TLRY', 5, -3, 2, 6, 217.175]
['2018-09-19 11:00:20', 'Wednesday', 'TLRY', 7, -3, 4, 13, 218.655]
['2018-09-19 11:01:23', 'Wednesday', 'TLRY', 10, -2, 8, 26, 220]
['2018-09-19 11:02:26', 'Wednesday', 'TLRY', 15, -2, 13, 43, 221.86]
['2018-09-19 11:03:29', 'Wednesday', 'TLRY', 13, -5, 8, 26, 220.125]
['2018-09-19 11:04:32', 'Wednesday', 'TLRY', 6, -8, -2, -6, 221.015]
['2018-09-19 11:05:35', 'Wednesday', 'TLRY', 5, -9, -4, -13, 224.86]
['2018-09-19 11:06:38', 'Wednesday', 'TLRY', 10, -8, 2, 6, 225.58]
['2018-09-19 11:07:41', 'Wednesday', 'TLRY', 9, -1, 8, 26, 228.24]
['2018-09-19 11:08:48', 'Wednesday', 'TLRY', 9, -2, 7, 23, 228.845]
['2018-09-19 11:09:51', 'Wednesday', 'TLRY', 10, -7, 3, 10, 229.3]
['2018-09-19 11:10:53', 'Wednesday', 'TLRY', 7, -4, 3, 10, 225.24]
['2018-09-19 11:11:56', 'Wednesday', 'TLRY', 9, -6, 3, 10, 225.495]
['2018-09-19 11:12:58', 'Wednesday', 'TLRY', 13, -6, 7, 23, 226.78]
['2018-09-19 11:14:01', 'Wednesday', 'TLRY', 11, -8, 3, 10, 226.67]
['2018-09-19 11:55:37', 'Wednesday', 'TLRY', 8, -2, 6, 20, 237]
['2018-09-19 11:56:39', 'Wednesday', 'TLRY', 6, -5, 1, 3, 237.26]
['2018-09-19 11:57:41', 'Wednesday', 'TLRY', 5, -9, -4, -13, 237]
['2018-09-19 11:58:48', 'Wednesday', 'TLRY', 10, -5, 5, 16, 236.56]
['2018-09-19 11:59:51', 'Wednesday', 'TLRY', 8, -5, 3, 10, 237.99]
['2018-09-19 12:00:54', 'Wednesday', 'TLRY', 7, -9, -2, -6, 231.07]
['2018-09-19 12:01:56', 'Wednesday', 'TLRY', 5, -9, -4, -13, 234.8]
['2018-09-19 12:02:58', 'Wednesday', 'TLRY', 10, -6, 4, 13, 235]
['2018-09-19 12:04:06', 'Wednesday', 'TLRY', 7, -4, 3, 10, 235]
['2018-09-19 12:05:08', 'Wednesday', 'TLRY', 4, -5, -1, -3, 234.34]
['2018-09-19 12:06:11', 'Wednesday', 'TLRY', 7, -6, 1, 3, 233.96]
['2018-09-19 12:07:14', 'Wednesday', 'TLRY', 7, -6, 1, 3, 235.67]
['2018-09-19 12:08:17', 'Wednesday', 'TLRY', 11, -4, 7, 23, 236.14]
['2018-09-19 12:09:19', 'Wednesday', 'TLRY', 8, -5, 3, 10, 236.055]
['2018-09-19 12:10:21', 'Wednesday', 'TLRY', 5, -7, -2, -6, 236.8]
['2018-09-19 12:11:23', 'Wednesday', 'TLRY', 4, -9, -5, -16, 236.8]
['2018-09-19 12:12:26', 'Wednesday', 'TLRY', 5, -12, -7, -23, 234.16]
['2018-09-19 12:13:28', 'Wednesday', 'TLRY', 7, -12, -5, -16, 233.495]
['2018-09-19 12:14:30', 'Wednesday', 'TLRY', 6, -12, -6, -20, 233.485]
['2018-09-19 12:15:57', 'Wednesday', 'TLRY', 7, -6, 1, 3, 232.96]
['2018-09-19 12:17:00', 'Wednesday', 'TLRY', 8, -4, 4, 13, 230.51]
['2018-09-19 12:18:02', 'Wednesday', 'TLRY', 8, -6, 2, 6, 220.13]
['2018-09-19 12:19:04', 'Wednesday', 'TLRY', 4, -13, -9, -30, 211.68]
['2018-09-19 12:20:07', 'Wednesday', 'TLRY', 2, -11, -9, -30, 222.005]
['2018-09-19 12:21:09', 'Wednesday', 'TLRY', 4, -9, -5, -16, 226.99]
['2018-09-19 12:22:12', 'Wednesday', 'TLRY', 6, -7, -1, -3, 225.62]
['2018-09-19 12:23:14', 'Wednesday', 'TLRY', 9, -5, 4, 13, 226.5]
['2018-09-19 12:24:17', 'Wednesday', 'TLRY', 8, -3, 5, 16, 229.075]
['2018-09-19 12:25:19', 'Wednesday', 'TLRY', 5, -3, 2, 6, 230.865]
['2018-09-19 12:26:21', 'Wednesday', 'TLRY', 5, -3, 2, 6, 231.75]
['2018-09-19 12:27:24', 'Wednesday', 'TLRY', 5, -4, 1, 3, 232.46]
['2018-09-19 12:28:26', 'Wednesday', 'TLRY', 7, -6, 1, 3, 228.02]
['2018-09-19 12:29:28', 'Wednesday', 'TLRY', 5, -10, -5, -16, 227.08]
['2018-09-19 13:01:28', 'Wednesday', 'TLRY', 7, -7, 0, 0, 232.06]
['2018-09-19 13:02:30', 'Wednesday', 'TLRY', 9, -7, 2, 6, 231.96]
['2018-09-19 13:03:32', 'Wednesday', 'TLRY', 9, -6, 3, 10, 232.13]
['2018-09-19 13:04:35', 'Wednesday', 'TLRY', 5, -9, -4, -13, 233]
['2018-09-19 13:05:37', 'Wednesday', 'TLRY', 5, -8, -3, -10, 233.38]
['2018-09-19 13:06:39', 'Wednesday', 'TLRY', 5, -10, -5, -16, 228.87]
['2018-09-19 13:07:42', 'Wednesday', 'TLRY', 9, -9, 0, 0, 230.1]
['2018-09-19 13:08:44', 'Wednesday', 'TLRY', 9, -7, 2, 6, 227.51]
['2018-09-19 13:09:46', 'Wednesday', 'TLRY', 9, -7, 2, 6, 226.435]
['2018-09-19 13:10:49', 'Wednesday', 'TLRY', 7, -8, -1, -3, 228.475]
['2018-09-19 13:11:51', 'Wednesday', 'TLRY', 4, -7, -3, -10, 228]
['2018-09-19 13:12:53', 'Wednesday', 'TLRY', 2, -6, -4, -13, 229.19]
['2018-09-19 13:13:56', 'Wednesday', 'TLRY', 3, -8, -5, -16, 228]
['2018-09-19 13:14:58', 'Wednesday', 'TLRY', 5, -8, -3, -10, 228]
['2018-09-19 13:16:01', 'Wednesday', 'TLRY', 5, -9, -4, -13, 227.03]
['2018-09-19 13:17:04', 'Wednesday', 'TLRY', 11, -9, 2, 6, 223.67]
['2018-09-19 13:18:07', 'Wednesday', 'TLRY', 9, -10, -1, -3, 225.06]
['2018-09-19 13:19:09', 'Wednesday', 'TLRY', 6, -10, -4, -13, 226.39]
['2018-09-19 13:20:12', 'Wednesday', 'TLRY', 5, -10, -5, -16, 227.09]
['2018-09-19 13:21:14', 'Wednesday', 'TLRY', 7, -8, -1, -3, 227]
['2018-09-19 13:22:16', 'Wednesday', 'TLRY', 6, -11, -5, -16, 228.75]
['2018-09-19 13:23:18', 'Wednesday', 'TLRY', 7, -7, 0, 0, 228.75]
['2018-09-19 13:24:20', 'Wednesday', 'TLRY', 7, -6, 1, 3, 230.49]
['2018-09-19 13:25:23', 'Wednesday', 'TLRY', 7, -6, 1, 3, 230.87]
['2018-09-19 13:26:26', 'Wednesday', 'TLRY', 8, -6, 2, 6, 229.335]
['2018-09-19 13:27:28', 'Wednesday', 'TLRY', 7, -6, 1, 3, 229.335]
['2018-09-19 13:28:30', 'Wednesday', 'TLRY', 6, -5, 1, 3, 229.335]
['2018-09-19 13:29:32', 'Wednesday', 'TLRY', 3, -5, -2, -6, 229.335]
['2018-09-19 13:30:34', 'Wednesday', 'TLRY', 4, -6, -2, -6, 229.335]
['2018-09-19 13:31:36', 'Wednesday', 'TLRY', 3, -7, -4, -13, 230.22]
['2018-09-19 13:32:39', 'Wednesday', 'TLRY', 8, -6, 2, 6, 235.345]
['2018-09-19 13:33:41', 'Wednesday', 'TLRY', 11, -3, 8, 26, 232.385]
['2018-09-19 13:41:04', 'Wednesday', 'TLRY', 9, -5, 4, 13, 232.12]
['2018-09-19 13:42:06', 'Wednesday', 'TLRY', 8, -3, 5, 16, 231.01]
['2018-09-19 13:43:09', 'Wednesday', 'TLRY', 7, -1, 6, 20, 231.85]
['2018-09-19 13:44:11', 'Wednesday', 'TLRY', 7, -1, 6, 20, 233.29]
